District,District Name,Nom de Circonscription,Type of results*,Type de résultats**,Surname - Nom de famille,Middle name(s) - Autre(s) prénom(s),Given name - Prénom,party,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés
11003,Egmont,Egmont,preliminary,préliminaires,Morrissey,,Bobby,Liberal,Libéral,7513,39.4,0,19058
11003,Egmont,Egmont,validated,validés,Clark,,Alex,Green Party,Parti Vert,3998,19.8,274,20452
11003,Egmont,Egmont,validated,validés,Dunn,,Sharon,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1230,6.1,274,20452
11003,Egmont,Egmont,validated,validés,McLellan,,Logan,Conservative,Conservateur,6934,34.4,274,20452
11003,Egmont,Egmont,validated,validés,Morrissey,,Bobby,Liberal,Libéral,8016,39.7,274,20452
11004,Malpeque,Malpeque,preliminary,préliminaires,Easter,,Wayne,Liberal,Libéral,9533,41.4,0,23030
11004,Malpeque,Malpeque,preliminary,préliminaires,Keenan,,Anna,Green Party,Parti Vert,6103,26.5,0,23030
11004,Malpeque,Malpeque,preliminary,préliminaires,Nash,,Craig,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1495,6.5,0,23030
11004,Malpeque,Malpeque,preliminary,préliminaires,Stewart,,Stephen,Conservative,Conservateur,5899,25.6,0,23030
11004,Malpeque,Malpeque,validated,validés,Easter,,Wayne,Liberal,Libéral,9533,41.4,288,23327
11004,Malpeque,Malpeque,validated,validés,Keenan,,Anna,Green Party,Parti Vert,6103,26.5,288,23327
11004,Malpeque,Malpeque,validated,validés,Nash,,Craig,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1495,6.5,288,23327
11004,Malpeque,Malpeque,validated,validés,Stewart,,Stephen,Conservative,Conservateur,5908,25.6,288,23327
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,Dockrill,,Michelle,Independent,Indépendant(e),671,1.6,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,Doucet,,Clive,Green Party,Parti Vert,3246,7.8,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,Joyce,,Billy,People's Party,Parti populaire,968,2.3,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,Kelloway,,Mike,Liberal,Libéral,16097,38.5,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,LeBlanc,,Darlene Lynn,National Citizens Alliance,Alliance Nationale Citoyens,139,.3,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,MacLeod,,Alfie,Conservative,Conservateur,14478,34.6,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,preliminary,préliminaires,Suitor,,Laurie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6258,15,0,41857
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,Dockrill,,Michelle,Independent,Indépendant(e),685,1.6,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,Doucet,,Clive,Green Party,Parti Vert,3321,7.7,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,Joyce,,Billy,People's Party,Parti populaire,925,2.2,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,Kelloway,,Mike,Liberal,Libéral,16694,38.9,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,LeBlanc,,Darlene Lynn,National Citizens Alliance,Alliance Nationale Citoyens,140,.3,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,MacLeod,,Alfie,Conservative,Conservateur,14821,34.5,601,43541
12001,Cape Breton--Canso,Cape Breton--Canso,validated,validés,Suitor,,Laurie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6354,14.8,601,43541
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Canyon,,George,Conservative,Conservateur,13201,29.6,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Fraser,,Sean,Liberal,Libéral,20718,46.5,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Frazer,,Chris,Communist,Communiste,179,.4,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,MacDonald,,Betsy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5896,13.2,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Muir,,Al,People's Party,Parti populaire,938,2.1,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Randle,,Barry,Green Party,Parti Vert,3478,7.8,0,44559
12002,Central Nova,Nova-Centre,preliminary,préliminaires,Slowik,,Michael,Independent,Indépendant(e),149,.3,0,44559
12002,Central Nova,Nova-Centre,validated,validés,Canyon,,George,Conservative,Conservateur,13201,29.7,412,44882
12002,Central Nova,Nova-Centre,validated,validés,Fraser,,Sean,Liberal,Libéral,20718,46.6,412,44882
12002,Central Nova,Nova-Centre,validated,validés,Frazer,,Chris,Communist,Communiste,180,.4,412,44882
12002,Central Nova,Nova-Centre,validated,validés,MacDonald,,Betsy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5806,13.1,412,44882
12002,Central Nova,Nova-Centre,validated,validés,Muir,,Al,People's Party,Parti populaire,938,2.1,412,44882
12002,Central Nova,Nova-Centre,validated,validés,Randle,,Barry,Green Party,Parti Vert,3478,7.8,412,44882
12002,Central Nova,Nova-Centre,validated,validés,Slowik,,Michael,Independent,Indépendant(e),149,.3,412,44882
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Archer,,William,People's Party,Parti populaire,608,1.3,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Armstrong,,Scott,Conservative,Conservateur,16219,35.7,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Blanch,,Jason,Green Party,Parti Vert,6015,13.2,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Duchesne,,Larry,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5451,12,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Garvey,,Stephen J,National Citizens Alliance,Alliance Nationale Citoyens,109,.2,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,O'Blenis,,Jody,VCP,CAC,144,.3,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Rushton,,Matthew V.,Independent,Indépendant(e),232,.5,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,preliminary,préliminaires,Zann,,Lenore,Liberal,Libéral,16672,36.7,0,45450
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Archer,,William,People's Party,Parti populaire,608,1.3,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Armstrong,,Scott,Conservative,Conservateur,16219,35.7,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Blanch,,Jason,Green Party,Parti Vert,6015,13.2,447,45897
